Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
f6cac837-a236-493e-8092-c1b93668a512,2022-07-16,,999-96-8673,,,,José Emilio366,Espinal146,,,,white,hispanic,M,Portsmouth  Saint John Parish  DM,705 Lesch Branch,De Queen,Arkansas,Sevier County,5133,71832,34.042443299800645,-94.3211040621475,5266.60,3872.27,51549
d09c146d-ab8d-e68f-3126-ded0f42bfca4,2023-12-27,,999-50-4590,,,,Donn979,Veum823,,,,white,nonhispanic,M,Rogers  Arkansas  US,739 Gleason Highlands,De Queen,Arkansas,Sevier County,5133,71832,34.0256292764906,-94.38290303514827,200.00,5344.46,19371
4245747e-0cf6-9ce3-35f2-04275098e5be,2008-04-22,,999-93-8116,S99939846,,,Shellie908,Denesik803,,,,white,nonhispanic,F,Cabot  Arkansas  US,585 Weissnat Port,Rogers,Arkansas,Benton County,5007,72756,36.209635303662445,-94.0802597672023,31276.79,0.00,116534
5fdc286f-73c0-89e1-04ae-7537133c3dc2,2019-07-28,,999-76-5947,,,,Rod343,Hahn503,,,,black,nonhispanic,M,Fort Smith  Arkansas  US,1052 Greenfelder Dam,Pine Bluff,Arkansas,Jefferson County,5069,71603,34.076709253716494,-92.11587377779182,1450.00,36224.86,6051
32fd9359-3556-baf3-a908-ecf78bcc1deb,2001-08-17,,999-57-7740,S99928216,X53912100X,Mr.,Delmar187,Breitenberg711,,,,black,nonhispanic,M,Little Rock  Arkansas  US,741 Upton Rue Apt 27,Aubrey,Arkansas,Lee County,5077,72311,34.699628211231754,-90.8422549960515,7250.84,84719.68,24016
606cc7dc-4462-b768-f5c9-25fbc16ecca0,2024-07-12,,999-25-2953,,,,Linnea167,Schiller186,,,,white,nonhispanic,F,Jonesboro  Arkansas  US,409 Batz Ranch Apt 69,Greenwood,Arkansas,Sebastian County,5131,72936,35.23402706529569,-94.24151600810235,4827.29,0.00,73317
c2386d0e-efbd-7e3e-8f2a-736c142d09fc,1975-03-05,,999-48-9884,S99985976,X59042932X,Ms.,Sunshine777,Mante251,,,S,white,nonhispanic,F,Conway  Arkansas  US,579 Hickle Underpass,Jacksonville,Arkansas,Pulaski County,5085,72023,34.942741600140025,-92.13051267667929,257130.81,509675.05,25345
858baf36-c355-b65d-525f-8c4f53a845eb,1986-09-19,,999-83-6951,S99952665,X47436343X,Mr.,Patrick786,Bogan287,,,D,white,nonhispanic,M,Little Rock  Arkansas  US,517 Boyer Wynd Apt 0,Jacksonville,Arkansas,Pulaski County,5119,72120,34.7546705710393,-92.18075326393343,5650.34,50470.22,1994
5e984e42-f521-cc7c-6ee5-017c29f94a6a,2004-10-01,,999-28-6344,S99961306,X34344951X,Mr.,Rosendo998,Schneider199,,,,white,nonhispanic,M,McGehee  Arkansas  US,277 Hyatt Green,Mena,Arkansas,Polk County,5113,71953,34.583013319367126,-94.18005751390716,31837.07,857.41,62731
19db174b-1410-5ccd-96f7-e8eda0e3fa8c,1996-04-13,,999-39-6581,S99953290,X61047759X,Mr.,Richie600,Durgan499,,,S,black,nonhispanic,M,North Little Rock  Arkansas  US,255 Harber Neck,Little Rock,Arkansas,Pulaski County,5119,72211,34.85187700120514,-92.56903595797104,44852.64,0.00,131335
b1815333-5641-3230-55f3-a3adf459a8a5,1967-05-15,,999-14-8571,S99955812,X85437885X,Mrs.,Venessa867,Mertz280,,Johnston597,D,white,nonhispanic,F,Colt  Arkansas  US,149 Hintz Fork,Newport,Arkansas,Jackson County,5067,72112,35.590058473022886,-91.26266808749963,25552.00,1687654.56,13557
307591c0-f4ad-f9aa-e189-4a89a9735485,1984-05-09,,999-96-2052,S99987569,X14070131X,Ms.,Aurelia213,McCullough561,,,S,white,nonhispanic,F,Jacksonville  Arkansas  US,508 Hermann Gardens Apt 44,Little Rock,Arkansas,Pulaski County,5119,72210,34.75208034124124,-92.27666249530803,195469.91,205046.10,66914
c3ee30e3-f110-c435-017e-ad3c196df9a8,1963-06-13,,999-13-1531,S99921348,X2179331X,Mr.,Jeramy610,Kassulke119,,,W,native,nonhispanic,M,Texarkana  Arkansas  US,338 Nikolaus Dam Suite 18,Prairie Grove,Arkansas,Washington County,5143,72730,36.06668365150752,-94.25276819969982,115579.65,64393.47,102407
38326181-6301-6de0-3149-40bc96f02ba6,1959-07-05,,999-27-7143,S99939095,X50667317X,Mrs.,Bette450,Anderson154,,Hahn503,M,white,nonhispanic,F,Bearden  Arkansas  US,435 Huels Fort,Lonoke,Arkansas,Lonoke County,5085,72086,34.78481788609147,-91.91837010524114,22502.23,1494660.49,15080
